"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Australia world's second-worst offender for biodiversity loss https://t.co/YvASUFH59O",FALSE,0,NA,2017-11-03 07:27:20,FALSE,NA,"926350062791270401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hugwildlife",1,FALSE,FALSE,NA,NA
"2","Biodiversity loss doesn't faze neoconservatives- they're aliens! #auspol https://t.co/IIvAZVToBe",FALSE,0,NA,2017-11-03 06:33:51,FALSE,NA,"926336605320650753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BulewoDudley",0,FALSE,FALSE,NA,NA
"3","Australia world's second-worst offender for biodiversity loss https://t.co/PUyx58vEAS",FALSE,0,NA,2017-11-03 05:57:06,FALSE,NA,"926327357069070337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ParisYvesRead",0,FALSE,FALSE,NA,NA
"4","#Australia among top 7 countries responsible for 60% of world’s #biodiversity loss b/w 1996-2008 https://t.co/go4hRCz62d",FALSE,0,NA,2017-11-03 00:16:27,FALSE,NA,"926241628414709760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","citizensGBR",0,FALSE,FALSE,NA,NA
"5","Australia among 7 nations responsible for more than half of world's biodiversity loss https://t.co/gVeQ9UfgFY",FALSE,0,NA,2017-11-03 00:08:12,FALSE,NA,"926239550577500161",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","southeastasia4u",0,FALSE,FALSE,NA,NA
"6","""Australia ranks as the second worst of the group, with a biodiversity loss of 5-10%.""

https://t.co/gkZLbfJ4U0",FALSE,10,NA,2017-11-03 00:06:01,FALSE,NA,"926239000288997376",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ConversationEDU",11,FALSE,FALSE,NA,NA
"7","Australia is among the top seven countries worldwide responsible for 60% of the world’s biodiversity loss between... https://t.co/R8Sm97zNTi",FALSE,0,NA,2017-11-02 22:00:15,FALSE,NA,"926207353170542593",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","knittingnannasT",4,FALSE,FALSE,NA,NA
"8","Australia is among the top seven countries worldwide responsible for 60% of the world’s biodiversity loss between... https://t.co/WkBHWjYF45",FALSE,0,NA,2017-11-02 19:18:00,FALSE,NA,"926166522602622976",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","EnjeuxEnergies",0,FALSE,FALSE,NA,NA
"9","Australia world's second-worst offender for biodiversity loss https://t.co/2hJ3ktg7qN",FALSE,0,NA,2017-11-02 16:42:18,FALSE,NA,"926127339389509632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarionSaternes",0,FALSE,FALSE,NA,NA
"10","Sup, Australia?? Get it together mates with #biodiversity loss #conservation #wildlife https://t.co/Bd1luEg0NI",FALSE,2,NA,2017-11-02 13:57:55,FALSE,NA,"926085968280526848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jettbritnell",0,FALSE,FALSE,NA,NA
"11","Australia world's second-worst offender for biodiversity loss
Behind Indonesia 
https://t.co/L7Vavb0RNG 
CC… https://t.co/aCwFbtdLd7",FALSE,18,"CECHR_UoD",2017-11-02 13:19:00,TRUE,"811864103547506688","926076175943983104","482133423","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CECHR_UoD",34,FALSE,FALSE,NA,NA
"12","Ranking of 7 countries responsible for &gt; than 50% of global #biodiversity loss; Australia prominent: https://t.co/6kMteeWyTT v. @WWF_Schweiz",FALSE,0,NA,2017-11-02 09:28:12,FALSE,NA,"926018091661881345",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NaBu_Vlbg",0,FALSE,FALSE,NA,NA
"13","Ranking countries responsible for #biodiversity loss https://t.co/iwBAUPIqkZ",FALSE,0,NA,2017-11-02 06:55:03,FALSE,NA,"925979551024537600",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","WWF_Schweiz",1,FALSE,FALSE,NA,NA
"14","Australia world's second-worst offender for biodiversity loss https://t.co/U1nxg8LJkW",FALSE,0,NA,2017-11-02 05:17:05,FALSE,NA,"925954897631068160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ababy8mydingo",0,FALSE,FALSE,NA,NA
"15","#Australia world's second-worst offender for #biodiversity loss - #corruption #ecocide #extinction #ethics #empathy  https://t.co/kxYxWAVIAC",FALSE,0,NA,2017-11-01 20:42:28,FALSE,NA,"925825388709924865",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","julesrs007",0,FALSE,FALSE,NA,NA
