"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"71","@FLGovScott @jacksonvillezoo Thank you Gov Scott. Please protect our Endangered Species, waterways &amp; very special e… https://t.co/bvN68I6Ym9",FALSE,0,"FLGovScott",2017-10-30 20:59:24,TRUE,"925100181636382721","925104876039888904","131546062","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LauraHouston4",0,FALSE,FALSE,NA,NA
"72","Join us for Habitat Restoration on 11/4 or 11/11! Actively protect Michigan's endangered species in a single day!… https://t.co/DUzBu3GAwd",FALSE,0,NA,2017-10-30 20:51:53,TRUE,NA,"925102985050550272",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","GSSEM",1,FALSE,FALSE,NA,NA
"73","URGENT: Endangered Species Act under threat. Tell Congress to protect wildlife + support ESA integrity https://t.co/EgPp6FqUa1 via @wwf_act",FALSE,0,NA,2017-10-30 20:20:09,FALSE,NA,"925094998672015360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MyersEd",0,FALSE,FALSE,NA,NA
"74","@USFWS Tim Sullivan as an officer of the USFWS you have responsibility to protect all endangered species habitat #StopCPV @ProtectOrangeCo",FALSE,0,"USFWS",2017-10-30 17:13:50,FALSE,NA,"925048110971281410","57625403","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_TomOKeefe_",0,FALSE,FALSE,NA,NA
"75","@BrianLehrer If landowners must protect endangered species found n their land, why can't society protect endangered humans in female bodies?",FALSE,0,"BrianLehrer",2017-10-30 15:04:55,FALSE,NA,"925015665290997760","12011422","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jgarbuz",0,FALSE,FALSE,NA,NA
"76","@Keith_AM If farmers were animals they'd be on the endangered species list, and more would be done to protect them. Something has to change.",FALSE,1,"Keith_AM",2017-10-30 07:08:56,FALSE,"924882340358344704","924895883048751104","22920665","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sindy01234",0,FALSE,FALSE,NA,NA
"77","So these are the land owners? Black people pls protect our endangered species<ed><U+00A0><U+00BD><ed><U+00B8><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+00A9> #BlackMonday https://t.co/DdeWf2y60A",FALSE,1,NA,2017-10-30 06:50:25,FALSE,NA,"924891222866649088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nomtha82",0,FALSE,FALSE,NA,NA
"78","Protect Endangered Species from the GOP https://t.co/76uDV1Qqe6",FALSE,0,NA,2017-10-30 05:43:54,FALSE,NA,"924874483931922432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jaccuse1",0,FALSE,FALSE,NA,NA
"79","Protect wolves and the Endangered Species Act:
https://t.co/JUfleuKhAJ",FALSE,0,NA,2017-10-30 01:08:47,FALSE,NA,"924805247264083969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2014JJ_Martin",0,FALSE,FALSE,NA,NA
"80","""Senators advanced a bill that would.. undermine our right as citizens to go to court to protect endangered species"" …",FALSE,0,NA,2017-10-29 21:41:10,FALSE,NA,"924752999511150593",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","EndangeredBox",0,FALSE,FALSE,NA,NA
