"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Newly Discovered Orangutan Species Is Also the Most Endangered https://t.co/xMZhPVH7yB via @sciam #conservation #orangutan",FALSE,0,NA,2017-11-03 03:19:35,FALSE,NA,"926287714797973504",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EarthwiseAware",0,FALSE,FALSE,NA,NA
"2","In our latest podcast, conservation biologist @marye_blair explains how to address trade in endangered species :… https://t.co/gGTDQ4LFAu",FALSE,23,NA,2017-11-03 02:44:17,TRUE,NA,"926278832314834944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AMNH",10,FALSE,FALSE,NA,NA
"3","A conservation group says walruses face ""a death sentence"" after they were left off endangered species list: https://t.co/tDqlQh5eVV",FALSE,3,NA,2017-11-02 20:38:00,FALSE,NA,"926186655136002049",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","hereandnow",1,FALSE,FALSE,NA,NA
"4","We join Lemur Bags in conservation of <ed><U+00A0><U+00BC><ed><U+00BC><U+008D>s most endangered species. You can help too! https://t.co/NJJcMybHYO 
15% pr… https://t.co/EBH93aMJ4f",FALSE,0,NA,2017-11-02 20:18:14,TRUE,NA,"926181679256895488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FaceTheCurrent",0,FALSE,FALSE,NA,NA
"5","Newly Discovered Orangutan Species Is Also the Most Endangered https://t.co/r8ReD4E45s -Scientific American #sustainability #conservation",FALSE,0,NA,2017-11-02 19:03:45,FALSE,NA,"926162935810068481",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","vrai777",0,FALSE,FALSE,NA,NA
"6","New species of #Orangutan discovered in #Sumatra – and is already #endangered - https://t.co/vqRREZ79oa v @guardian  #Wildlife #Conservation",FALSE,0,NA,2017-11-02 18:09:35,FALSE,NA,"926149302929543168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_AndreaAngulo_",0,FALSE,FALSE,NA,NA
"7","Official version of my new paper is out in Conservation Biology: Quantitative metrics for the Endangered Species Act
https://t.co/SUmQ2ag6hl",FALSE,4,NA,2017-11-02 17:31:32,FALSE,NA,"926139726100344833",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Julia_E_Earl",0,FALSE,FALSE,NA,NA
"8","Spooky Conservation: Saving Endangered Species Over Our Dead Bodies https://t.co/QaQZEgYStP #SUSTAINABLE #AGENDA21",FALSE,0,NA,2017-11-02 13:16:53,FALSE,NA,"926075642646589440",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Cary88888888",0,FALSE,FALSE,NA,NA
"9","#MySchool20 - Education;Saving our endangered species;SPCA;Water Conservation;",FALSE,0,NA,2017-11-02 07:28:14,FALSE,NA,"925987903326564353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ACWallace1",0,FALSE,FALSE,NA,NA
"10","Spooky conservation: Saving endangered species over our dead bodies https://t.co/pPAlWnFOPC",FALSE,0,NA,2017-11-02 05:42:23,FALSE,NA,"925961263422742528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jaccuse1",0,FALSE,FALSE,NA,NA
