"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","With Australian #2 globally for species loss, LTERN is not just a nice-to-have. It's a necessity @TERN_Aus  https://t.co/Qad81IMuWS",FALSE,1,NA,2017-11-03 02:07:40,FALSE,NA,"926269616078209024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SueMilthorpe",0,FALSE,FALSE,NA,NA
"2","Oz has ridiculously high species loss, but an invaluable ecological network is losing funding. https://t.co/ifh62ihJJY via @ConversationEDU",FALSE,6,NA,2017-11-02 23:57:23,FALSE,NA,"926236829950586880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaddiDeGabriele",4,FALSE,FALSE,NA,NA
"3","Good news! Conservation is working at a global scale, slowing loss of species and ecosystems. But more investment n… https://t.co/FTmljy9ujB",FALSE,7,NA,2017-10-27 11:36:52,TRUE,NA,"923876144088219649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CraigSmith_NCC",2,FALSE,FALSE,NA,NA
"4","Loss of a single species can lead to total collapse of an ecosystem but costs little to prevent-- study https://t.co/7ZKAlUt4Rm 
#nature",FALSE,2,NA,2017-10-27 11:20:10,FALSE,NA,"923871942192615424",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","StephenLeahy",0,FALSE,FALSE,NA,NA
"5","@EE_Spencer Sadly Australia is on the map- for devastating land clearing, bio diversity loss and species decline… https://t.co/3iwGjUGw25",FALSE,0,"EE_Spencer",2017-10-27 10:58:34,TRUE,"884735003426398208","923866506827460608","3180095449","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tilly64",0,FALSE,FALSE,NA,NA
"6","Yes-depressing for Australia-world leader in species loss-but remember key finding-CONSERVATION SPENDING works. Tim… https://t.co/4xtFbBlDyL",FALSE,24,NA,2017-10-26 22:09:32,TRUE,NA,"923672975059992576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrenWintle",34,FALSE,FALSE,NA,NA
"7","A mere $5 million investment in conservation could have slowed loss of species 50% in Peru and 90% in Rwanda - study https://t.co/lXoksmvtCL",FALSE,1,NA,2017-10-25 23:22:32,FALSE,NA,"923328957243469824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StephenLeahy",2,FALSE,FALSE,NA,NA
"8","Australia in seven nations responsible for more than 50% of global species loss ...
- via @abcnews… https://t.co/72y8yYa3Qi",FALSE,0,NA,2017-10-25 22:31:08,TRUE,NA,"923316019782758400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DesignOz",0,FALSE,FALSE,NA,NA
"9","Air pollution, mercury poisoning, species loss, algae blooms in Lake Erie--some examples of Ontario failing to prot… https://t.co/yBFbqHz21b",FALSE,0,NA,2017-10-25 02:20:25,TRUE,NA,"923011333129457664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jpas0123",0,FALSE,FALSE,NA,NA
