"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","By fighting to protect the #highseas we're fighting to conserve their home: https://t.co/jgJrNbBQNw #biodiversity https://t.co/8UuhwfhTwU",FALSE,0,NA,2017-11-02 21:00:02,FALSE,NA,"926192198751850496",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AIDAorg",1,FALSE,FALSE,NA,NA
"2","How we can protect biodiversity outside of parks? https://t.co/epQxxAiGqc",FALSE,0,NA,2017-11-02 20:42:27,FALSE,NA,"926187771185778696",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SciSeekFeed",0,FALSE,FALSE,NA,NA
"3","@RAN Major need to protect Sumatra's Batang Toru rainforest that these #GreatApes call their home. #forests #conservation #biodiversity",FALSE,3,"nivedita_Him",2017-11-02 18:40:05,FALSE,"926156697122480128","926156978413375488","1484608740","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nivedita_Him",2,FALSE,FALSE,NA,NA
"4","Sacred Natural Sites often harbour valuable biodiversity and protect key ecosystems <U+27A4> https://t.co/OKxz8qeseE #culture #sacred",FALSE,0,NA,2017-11-02 17:42:50,FALSE,NA,"926142573001003008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TourismPlan",0,FALSE,FALSE,NA,NA
"5","Is #technology a threat or a resource to save, protect or restore #biodiversity?
@BraveNewWorldNL",FALSE,1,NA,2017-11-02 14:43:49,FALSE,NA,"926097518009700352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ICTechForesight",1,FALSE,FALSE,NA,NA
"6","Indigenous reserves are one of the very best ways to protect our planets biodiversity https://t.co/aDUPHHpGxU",FALSE,21,NA,2017-11-02 13:26:16,FALSE,NA,"926078005469962240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bruceparry",5,FALSE,FALSE,NA,NA
"7","Scottish Natural Heritage pledge £1.5m lottery money to protect biodiversity - Evening Express… https://t.co/0TcB9BYnKd",FALSE,1,NA,2017-11-02 12:15:47,TRUE,NA,"926060267087245313",NA,"<a href=""https://smarterqueue.com"" rel=""nofollow"">SmarterQueue</a>","worldbeeproject",1,FALSE,FALSE,NA,NA
"8","Not just #forests, #savanna and grasland is needed to curb #climatechange and protect #biodiversity
#nature4climate
https://t.co/HXjQdXFJza",FALSE,0,NA,2017-11-02 04:33:38,FALSE,NA,"925943964397658113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SzilviaCsevar",0,FALSE,FALSE,NA,NA
"9","Visit our website to help plant more #trees, reduce #poverty and protect #tropical #forests and #biodiversity.… https://t.co/vrZtOoOlkJ",FALSE,2,NA,2017-11-02 02:11:46,TRUE,NA,"925908261735403520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BetterGlobeTree",3,FALSE,FALSE,NA,NA
"10","How we can protect biodiversity outside of parks? https://t.co/epQxxAiGqc",FALSE,0,NA,2017-11-01 20:42:26,FALSE,NA,"925825382057725953",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SciSeekFeed",0,FALSE,FALSE,NA,NA
"11","@WahydAhmed @shuibs Randoo (Red Mangroves) can grow in very saline areas and protect coast from erosion &amp; enrich biodiversity in that area.",FALSE,1,"WahydAhmed",2017-11-01 15:58:32,FALSE,"925752682358460417","925753933213007873","506946881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AliRilwan",0,FALSE,FALSE,NA,NA
"12","First we need to protect the biodiversity we have, including local re-introductions of recently absent species, bef… https://t.co/cDmBUKPvO9",FALSE,3,NA,2017-11-01 14:11:42,TRUE,NA,"925727050413027328",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SimonThomasAC",1,FALSE,FALSE,NA,NA
"13","@GeorgeMonbiot Until farmers are paid to protect nature they’ll continue to do what pays the bills - reducing biodiversity.",FALSE,0,"GeorgeMonbiot",2017-10-31 20:03:14,FALSE,"925276910766186496","925453127675006976","198584761","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timcsexton",0,FALSE,FALSE,NA,NA
"14","Did you see the September issue of our #NatureServe #NetworkNews? Can Math Protect #Biodiversity? https://t.co/QSHxl9vmZh via @natureserve",FALSE,0,NA,2017-10-31 19:23:29,FALSE,NA,"925443126118010880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","natureserve",0,FALSE,FALSE,NA,NA
"15","Love Pushes People to Protect Sheffield’s Street Trees https://t.co/LYzEaxNTRz  #SaveSheffTrees #Urban #Biodiversity",FALSE,1,NA,2017-10-31 17:13:57,FALSE,NA,"925410525298790400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kernunos",2,FALSE,FALSE,NA,NA
"16","Discover all of the superb work Project Biodiversity are doing to protect loggerhead turtles from extinction.… https://t.co/43v0lGtQgr",FALSE,0,NA,2017-10-31 16:00:13,TRUE,NA,"925391972390572032",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CapeVerdeExp",0,FALSE,FALSE,NA,NA
"17","@JacquelynGill @aaas @KISR @StateDept @kfasinfo “We can better protect our contemporary biodiversity if we pay a li… https://t.co/UKX3yShM2c",FALSE,4,"womenLSTE",2017-10-31 15:29:51,TRUE,"925384239750762496","925384328976257026","895206307673800704","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","womenLSTE",1,FALSE,FALSE,NA,NA
"18","Grants to Protect Biodiversity and Ecosystems – 31st January 2018 (UK / Worldwide) https://t.co/GADKLc1YAI https://t.co/ZF0u2Ckpi7",FALSE,0,NA,2017-10-31 13:00:39,FALSE,NA,"925346781159927808",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","MerseyFunding",0,FALSE,FALSE,NA,NA
"19","#DYK, Indigenous peoples represent 4% of population yet protect 80%+ of world’s #biodiversity?… https://t.co/voNJzJCi8Z",FALSE,3,NA,2017-10-31 11:00:03,TRUE,NA,"925316433029971968",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","IfNotUs_ThenWho",3,FALSE,FALSE,NA,NA
"20","#DYK, Indigenous peoples represent 4% of population yet protect 80%+ of world’s #biodiversity?… https://t.co/FucwtmoF92",FALSE,1,NA,2017-10-31 09:30:02,TRUE,NA,"925293779615019008",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","IfNotUs_ThenWho",0,FALSE,FALSE,NA,NA
"21","Noooo all the environmental science news right now is awful. It's so important to protect biodiversity! @OxyEvo https://t.co/T2pzvEHjBr",FALSE,1,NA,2017-10-31 06:22:34,FALSE,NA,"925246602280759296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","loescott",1,FALSE,FALSE,NA,NA
"22","Grants to Protect Biodiversity and Ecosystems (UK / Worldwide)
deadline for applications is the 31st January 2018
https://t.co/LalX5HbuIW",FALSE,0,NA,2017-10-30 17:11:22,FALSE,NA,"925047489555763201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EevtSteve",0,FALSE,FALSE,NA,NA
"23","Grants to Protect Biodiversity and Ecosystems (UK / Worldwide): Grants to Protect Biodiversity and Ecosystems (UK /… https://t.co/TfQV8oCJYy",FALSE,0,NA,2017-10-30 16:44:37,TRUE,NA,"925040758582677504",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","EevtSteve",0,FALSE,FALSE,NA,NA
"24","New study maps priority areas around world to protect mammals! #conservation #biodiversity via @physorg_com… https://t.co/TjoeDJuTk5",FALSE,1,NA,2017-10-30 14:55:09,TRUE,NA,"925013206724210688",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","iflovecons",1,FALSE,FALSE,NA,NA
"25","@cathmckenna @GGJuliePayette as a model of how ""not to meet your climate targets, nor protect your biodiversity"" se… https://t.co/8sHjoVmQdD",FALSE,0,"cathmckenna",2017-10-30 14:54:33,TRUE,"925012203471888384","925013058510082048","140252240","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sweatshopking",0,FALSE,FALSE,NA,NA
"26","Environmental protection, RoL style. Need to protect rich biodiversity not binding on spread of RoL. NGT would have… https://t.co/WWwFTRqmMp",FALSE,2,NA,2017-10-30 13:57:52,TRUE,NA,"924998793451356160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Raghusbhat",5,FALSE,FALSE,NA,NA
"27","Read more about UK efforts to protect marine biodiversity within #UKBlueBelt https://t.co/paWRAjvcbj… https://t.co/Dch92qoP48",FALSE,0,NA,2017-10-30 09:43:24,TRUE,NA,"924934754637615109",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NCI_NatCap",1,FALSE,FALSE,NA,NA
"28","DENR urges mining firms to protect PHL biodiversity | via @jonlmayuga - https://t.co/8qcQWnvXYy

#BMOnToNewHeights https://t.co/wTD6QBSh3p",FALSE,3,NA,2017-10-30 09:33:49,FALSE,NA,"924932340488404992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BusinessMirror",1,FALSE,FALSE,NA,NA
"29","Peat bogs reduce risk of #wildfires and #flooding, protect #biodiversity, mitigate #climatechange.
#nature4climate
https://t.co/wJ4B4LForo",FALSE,0,NA,2017-10-30 08:29:08,FALSE,NA,"924916064747769856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SzilviaCsevar",1,FALSE,FALSE,NA,NA
