"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Australia can't catch a break today. https://t.co/3ayB9G6lHr",FALSE,0,NA,2017-11-03 07:07:19,FALSE,NA,"926345024710656000",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","OTEnvironment",0,FALSE,FALSE,NA,NA
"2","Australia knocks other countries, but we are amongst the worst perpetrators.............. https://t.co/OX5x06XFag",FALSE,0,NA,2017-11-03 00:57:10,FALSE,NA,"926251873870450689",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","joffaman44",0,FALSE,FALSE,NA,NA
"3","https://t.co/7KSH2hkFXo Even taking into account methodological concerns, the fact that Australia is in this group… https://t.co/jAhChdUF5A",FALSE,0,NA,2017-11-01 23:18:18,TRUE,NA,"925864605389225984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VisDesDev",0,FALSE,FALSE,NA,NA
"4","Australia has second-highest biodiversity decline after Indonesia https://t.co/k3cGGrvruc",FALSE,0,NA,2017-10-30 08:08:43,FALSE,NA,"924910927358676992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johnrf66",0,FALSE,FALSE,NA,NA
"5","Australia among seven nations responsible for more than 50 per cent of global biodiversity … https://t.co/Grg5kZByH9 https://t.co/YNkPQeMRyg",FALSE,0,NA,2017-10-30 07:51:04,FALSE,NA,"924906484491722752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","myvironment",1,FALSE,FALSE,NA,NA
"6","Australia among seven nations responsible for more than 50 per cent of global biodiversity … https://t.co/9jxghJMjOD https://t.co/l4Hqdvayrs",FALSE,0,NA,2017-10-27 12:29:09,FALSE,NA,"923889301489819649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ollicle",0,FALSE,FALSE,NA,NA
"7","Australia among seven nations responsible for more than 50 per cent of glob...
- via @abcnews… https://t.co/FR7ma0wQMH",FALSE,1,NA,2017-10-27 11:26:52,TRUE,NA,"923873630081052672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gdrosser",0,FALSE,FALSE,NA,NA
"8","Australia among seven nations responsible for more than 50 per cent of glob...
- via @abcnews… https://t.co/5dipKXTX2B",FALSE,0,NA,2017-10-27 11:26:43,TRUE,NA,"923873589186641921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gdrosser",0,FALSE,FALSE,NA,NA
"9","Indonesia, Australia, USA are worst in global biodiversity decline - new study shows https://t.co/73mm0OkzFW",FALSE,0,NA,2017-10-27 07:49:58,FALSE,NA,"923819042594590721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GiuliDuyck",0,FALSE,FALSE,NA,NA
"10","and OBP is not alone...
Australia seems set to loose a whole lot more unless political priorities change.

https://t.co/tlEoeziZpW",FALSE,0,NA,2017-10-26 21:56:31,FALSE,NA,"923669698667048960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","travel_wildlife",0,FALSE,FALSE,NA,NA
"11","Not good Australia. Profit over environment. Short term vision. Shame. https://t.co/C87QNC4RUE",FALSE,0,NA,2017-10-26 16:43:01,FALSE,NA,"923590804483874816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GarryMc000",0,FALSE,FALSE,NA,NA
"12","Well done Australia https://t.co/KPbZOe8AnG",FALSE,0,NA,2017-10-26 13:51:49,FALSE,NA,"923547718420754432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MyGreenWorldAU",0,FALSE,FALSE,NA,NA
"13","Australia has so much to be ashamed of these days... so much for the ""Lucky Country"" :'( https://t.co/YwRk6qEJX2",FALSE,0,NA,2017-10-26 10:07:48,FALSE,NA,"923491342096977923",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MsRoofie",0,FALSE,FALSE,NA,NA
"14","Australia among seven nations responsible for more than 50 per cent of global biodiversity … https://t.co/gRivmc83j5 https://t.co/NcWQVUIsHh",FALSE,3,NA,2017-10-26 08:39:32,FALSE,NA,"923469129805262849",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tanelsonaus",0,FALSE,FALSE,NA,NA
"15","Australia is one of seven countries responsible for more than half of global #biodiversity eradication https://t.co/XYYkObK9k0 #landclearing",FALSE,0,NA,2017-10-26 08:01:23,FALSE,NA,"923459528644947969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MnlyBeach",0,FALSE,FALSE,NA,NA
"16","Will we listen? No we blame cats, foxes and kangaroos instead ""Australia is one of seven countries responsible... https://t.co/UGtQbMmPNv",FALSE,7,NA,2017-10-26 05:55:04,FALSE,NA,"923427741252272134",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","kangarevolution",7,FALSE,FALSE,NA,NA
